rn,user_link,net_token_amount,shares_amount,avg_price,avg_price_usd,per_of_total_share,per_of_total_share_cum
149,"<a href=https://debank.com/profile/0x6ef221beb0e71877c3d421899bbefca9599aaeb4 target=_blank"">0x6ef221beb0e71877c3d421899bbefca9599aaeb4</a>",3.2,54713.4103517662,5.848657540128462e-05,0.14703232623005943,0.0013946247525381506,0.7024212111384447
152,"<a href=https://debank.com/profile/0x24e21d552fe601d583b00cfe73baeac74a992590 target=_blank"">0x24e21d552fe601d583b00cfe73baeac74a992590</a>",3.029689450210412,54671.05613996463,5.541669878214963e-05,0.13931480990338505,0.0013935451592213943,0.7038147562976661
164,"<a href=https://debank.com/profile/0x50a5cad2a9f9ea653a81458fe9b83c67afc957c1 target=_blank"">0x50a5cad2a9f9ea653a81458fe9b83c67afc957c1</a>",3,54609.78649163897,5.4935208370743486e-05,0.13810436708363058,0.0013919834183687423,0.7052067397160349
165,"<a href=https://debank.com/profile/0xbe0820db36c718d26fa2e8dbf8138eaddf15c2c2 target=_blank"">0xbe0820db36c718d26fa2e8dbf8138eaddf15c2c2</a>",3,54449.83890165579,5.509658174413389e-05,0.13851005167566538,0.0013879064129935477,0.7065946461290284
166,"<a href=https://debank.com/profile/0xb2f293e729a01a4c6f65984b876b85f1feed7b10 target=_blank"">0xb2f293e729a01a4c6f65984b876b85f1feed7b10</a>",3,53908.506768065265,5.564984414996193e-05,0.1399009257007968,0.0013741080555525504,0.707968754184581
167,"<a href=https://debank.com/profile/0xc29cea6b552fbf76dee19905dd59ae87a9c0f089 target=_blank"">0xc29cea6b552fbf76dee19905dd59ae87a9c0f089</a>",3,53562.40796482241,5.60094311288297e-05,0.14080490938632143,0.0013652861240603794,0.7093340403086414
177,"<a href=https://debank.com/profile/0x69d09e6794b9cd8be18dc5aea55195155f020daf target=_blank"">0x69d09e6794b9cd8be18dc5aea55195155f020daf</a>",2.6829,53239.39360012325,5.0393135957765476e-05,0.1266858241410245,0.0013570526064357502,0.7106910929150771
153,"<a href=https://debank.com/profile/0xdca6de59a84a6325df50f2c3ecd3634fc430995b target=_blank"">0xdca6de59a84a6325df50f2c3ecd3634fc430995b</a>",3.01,52790.19068240586,5.701816873723067e-05,0.14334082529696104,0.0013456025889001352,0.7120366955039773
168,"<a href=https://debank.com/profile/0x3e57efef507b4db7acfa2ee79ceca6b19e18d106 target=_blank"">0x3e57efef507b4db7acfa2ee79ceca6b19e18d106</a>",3,52691.535773599484,5.6935140643653756e-05,0.14313209682111336,0.0013430879114765166,0.7133797834154538
169,"<a href=https://debank.com/profile/0x148c67ace132281d83a7bc72eaffb884cecf2f56 target=_blank"">0x148c67ace132281d83a7bc72eaffb884cecf2f56</a>",3,52338.250601771324,5.731945499719222e-05,0.14409824389019138,0.001334082802086176,0.71471386621754
183,"<a href=https://debank.com/profile/0x519dfe8af58e01a0107f55cc8086ac84ab56b070 target=_blank"">0x519dfe8af58e01a0107f55cc8086ac84ab56b070</a>",2.5,52241.37031173477,4.785479372156582e-05,0.12030455867633039,0.001331613359043796,0.7160454795765837
174,"<a href=https://debank.com/profile/0x963b501d8aa19c17070bcc325a9aae8d335be4de target=_blank"">0x963b501d8aa19c17070bcc325a9aae8d335be4de</a>",2.82,51932.250423977144,5.430151739963891e-05,0.1365112996668222,0.0013237340065377667,0.7173692135831214
151,"<a href=https://debank.com/profile/0x3363f91dd3014e48fe86f3fcace83cb584f79d1a target=_blank"">0x3363f91dd3014e48fe86f3fcace83cb584f79d1a</a>",3.03,51268.633939968284,5.9100462937005536e-05,0.14857560880048507,0.00130681866587739,0.7186760322489988
185,"<a href=https://debank.com/profile/0x5adb1b7d36ec7636bae2b2d0f4bacd131e7857f6 target=_blank"">0x5adb1b7d36ec7636bae2b2d0f4bacd131e7857f6</a>",2.5,50868.22869581068,4.914659039829887e-05,0.12355207093180344,0.0012966124831342914,0.7199726447321331
173,"<a href=https://debank.com/profile/0x79e4119e022da86cebe7cd7e7d131b3b7d5d8dc8 target=_blank"">0x79e4119e022da86cebe7cd7e7d131b3b7d5d8dc8</a>",2.9605204299813015,50720.97068789153,5.8368765223337055e-05,0.1467361573332082,0.0012928589305494108,0.7212655036626825
178,"<a href=https://debank.com/profile/0x5cf00981051d1b2089af349ef9e074420ad7ae82 target=_blank"">0x5cf00981051d1b2089af349ef9e074420ad7ae82</a>",2.62,50646.79949268515,5.173081075692459e-05,0.13004867170237058,0.001290968334001049,0.7225564719966835
133,"<a href=https://debank.com/profile/0xcf7cd11a2d7d000368cb02f38206e19bed60676b target=_blank"">0xcf7cd11a2d7d000368cb02f38206e19bed60676b</a>",3.8170948129841733,50277.27066868378,7.592088357655676e-05,0.19086130526728487,0.0012815491798774934,0.7238380211765609
180,"<a href=https://debank.com/profile/0x83b537ec4089607eab7a9edaa29e44b8d5f89bff target=_blank"">0x83b537ec4089607eab7a9edaa29e44b8d5f89bff</a>",2.568069084242686,50052.96478386596,5.130703236725102e-05,0.12898331401965069,0.0012758317051835256,0.7251138528817445
111,"<a href=https://debank.com/profile/0x709f8dbbaf152e429b6cd552997653712b9db85b target=_blank"">0x709f8dbbaf152e429b6cd552997653712b9db85b</a>",4.348720603562243,50000,8.697441207124485e-05,0.218649323226506,0.0012744816522784444,0.7263883345340229
